Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
10/5/2004,145.5777721,159.4423218,145.5777721,159.4423218,1496600000,0,0
10/6/2004,159.4423124,159.4423124,154.2431065,157.7092438,270080000,0,0
10/7/2004,155.9761963,155.9761963,150.7769897,155.9761963,412060000,0,0
10/8/2004,154.2431274,157.7092651,154.2431274,155.9761963,288950000,0,0
10/11/2004,155.9761752,159.4423124,154.2431065,157.7092438,350120000,0,0
10/12/2004,157.709287,157.709287,152.5100797,154.2431488,322910000,0,0
10/13/2004,155.9761963,157.7092651,154.2431274,155.9761963,168000000,0,0
10/14/2004,155.9761963,157.7092651,154.2431274,155.9761963,305480000,0,0
10/15/2004,154.2431065,157.7092438,154.2431065,157.7092438,301950000,0,0
10/18/2004,157.7092438,157.7092438,155.9761752,157.7092438,137550000,0,0
10/19/2004,157.709287,157.709287,154.2431488,154.2431488,412170000,0,0
10/20/2004,154.2431488,155.9762179,150.7770106,154.2431488,273750000,0,0
10/21/2004,154.2430935,154.2430935,150.7769566,152.510025,170980000,0,0
10/22/2004,152.5100586,157.7092651,152.5100586,155.9761963,219850000,0,0
10/25/2004,155.9761752,157.7092438,154.2431065,157.7092438,36080000,0,0
10/26/2004,157.7092531,159.4423218,155.9761843,159.4423218,95260000,0,0
10/27/2004,159.4423281,168.1076721,159.4423281,166.3746033,668340000,0,0
10/28/2004,168.1076721,168.1076721,162.9084657,166.3746033,277050000,0,0
10/29/2004,166.3746033,166.3746033,164.6415345,166.3746033,126340000,0,0
11/1/2004,166.3745857,173.3068601,166.3745857,171.5737915,224080000,0,0
11/2/2004,171.5738485,180.2391944,171.5738485,176.773056,389430000,0,0
11/3/2004,176.7729973,176.7729973,171.5737915,171.5737915,438210000,0,0
11/4/2004,171.5737915,171.5737915,166.3745857,171.5737915,370720000,0,0
11/5/2004,171.5738461,175.0399844,171.5738461,173.3069153,114460000,0,0
11/8/2004,173.3069153,173.3069153,169.840777,173.3069153,38090000,0,0
11/9/2004,173.3069153,175.0399844,173.3069153,173.3069153,65960000,0,0
11/10/2004,175.0399914,185.4384067,173.3069222,183.7053375,289020000,0,0
11/11/2004,185.4383667,195.8367798,185.4383667,190.6375732,278360000,0,0
11/12/2004,192.3706421,195.8367798,188.9045044,190.6375732,351860000,0,0
11/15/2004,190.6375732,190.6375732,190.6375732,190.6375732,0,0,0
11/16/2004,190.6375732,190.6375732,190.6375732,190.6375732,0,0,0
11/17/2004,190.6375732,190.6375732,190.6375732,190.6375732,0,0,0
11/18/2004,190.6375732,190.6375732,190.6375732,190.6375732,0,0,0
11/19/2004,190.6375732,190.6375732,190.6375732,190.6375732,0,0,0
11/22/2004,190.6375391,190.6375391,183.7052649,187.171402,383340000,0,0
11/23/2004,190.7029458,199.5317859,190.7029458,194.2344818,361270000,5,0
11/24/2004,194.2344818,197.7660178,192.4687138,194.2344818,120080000,0,0
11/25/2004,192.4687312,192.4687312,188.9371948,188.9371948,128910000,0,0
11/26/2004,188.9371601,188.9371601,181.8740887,185.4056244,555880000,0,0
11/29/2004,185.4056472,192.4687195,185.4056472,192.4687195,284470000,0,0
11/30/2004,192.4687138,196.0002498,192.4687138,194.2344818,174800000,0,0
12/1/2004,194.2344876,194.2344876,188.9371833,192.4687195,335200000,0,0
12/2/2004,194.2344876,197.7660237,192.4687195,192.4687195,569090000,0,0
12/3/2004,194.2344876,196.0002556,192.4687195,192.4687195,508070000,0,0
12/6/2004,190.7029514,192.4687195,190.7029514,192.4687195,80250000,0,0
12/7/2004,192.4687099,192.4687099,188.9371739,190.7029419,144530000,0,0
